"sex","age","numgiven","sex1","talkto1","sex2","talkto2","sex3","talkto3","sex4","talkto4","sex5","talkto5","close12","close13","close14","close15","close23","close24","close25","close34","close35","close45","mntlhlth","health1"
"female","51","2","female","once a month","female","almost daily",NA,NA,NA,NA,NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","fair"
"female","47","2","female","almost daily","female","almost daily",NA,NA,NA,NA,NA,NA,"know each other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","26","5","male","almost daily","female","almost daily","female","once a week","female","almost daily","female","almost daily","know each other","especially close","know each other","especially close","total strangers","total strangers","total strangers","know each other","know each other","know each other","0",NA
"female","39","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA
"female","52","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA
"female","50","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","57","5","male","almost daily","female","once a week","female","almost daily","female","once a week","female","almost daily","especially close","especially close","know each other","especially close","especially close","know each other","especially close","especially close","especially close","especially close","1",NA
"male","43","3","male","once a week","male","once a week","male","once a week",NA,NA,NA,NA,"know each other","especially close",NA,NA,"total strangers",NA,NA,NA,NA,NA,"0","good"
"male","50","6","female","almost daily","female","once a week","male","once a week","male","once a week","female","once a month","especially close","especially close","especially close","especially close","especially close","know each other","especially close","know each other","especially close","know each other","4",NA
"female","19","2","female","almost daily","female","once a week",NA,NA,NA,NA,NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","excellent"
"male","57","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"female","45","5","male","almost daily","female","almost daily","male","once a week","male","once a week","female","once a month","especially close","know each other","total strangers","total strangers","especially close","total strangers","total strangers","total strangers","total strangers","total strangers",NA,NA
"male","68","6","male","once a week","male","once a week","male","once a week","male","once a week","female","almost daily","especially close","especially close","especially close","especially close","especially close","especially close","especially close","especially close","especially close","especially close",NA,NA
"female","35","6","female","almost daily","male","almost daily","female","almost daily","female","once a month","female","once a week","know each other","know each other","total strangers","total strangers","especially close","know each other","know each other","know each other","know each other","total strangers","2",NA
"male","34","5","female","almost daily","male","once a week","female","once a week","female","once a month","male","once a week","especially close","especially close","know each other","especially close","especially close","total strangers","know each other","total strangers","especially close","especially close","2",NA
"female","60","1","male","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"male","61","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","good"
